Time,tavolaRotante._axisInterface.axisActualPosition,braccioSx._axisInterface.axisActualPosition,braccioDx._axisInterface.axisActualPosition,tavolaRotante._axisInterface.axisOn,tavolaRotante._axisInterface.axisReferenced,tavolaRotante._axisInterface.axisPos1,tavolaRotante._axisInterface.axisPos2,braccioSx._axisInterface.axisOn,braccioSx._axisInterface.axisReferenced,braccioSx._axisInterface.axisPos1,braccioSx._axisInterface.axisPos2,braccioSx._instGripper._gripperInterface.gripperOpened,braccioSx._instGripper._gripperInterface.gripperClosed,braccioDx._axisInterface.axisOn,braccioDx._axisInterface.axisReferenced,braccioDx._axisInterface.axisPos1,braccioDx._axisInterface.axisPos2,braccioDx._instGripper._gripperInterface.gripperOpened,braccioDx._instGripper._gripperInterface.gripperClosed,start
2024-05-08T16:53:23.9339784Z,270,4.997,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:24.2339796Z,270,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:24.5340307Z,270,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:24.8339561Z,270,29.171,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:25.1339737Z,270,59.198,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:25.4341293Z,270,89.199,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:25.7341094Z,270,100.048,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:26.0340210Z,270,100.002,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:26.3340035Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:26.6341097Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:26.9339618Z,293.668,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:27.2339586Z,323.698,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:27.5339854Z,353.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:27.8339911Z,23.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:28.1339532Z,53.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:28.4340362Z,83.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:28.7340021Z,90.031,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:29.0340942Z,90.001,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:29.3340268Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:29.6363914Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:29.9340001Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:30.2339778Z,89.999,100,75.828,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:30.5339950Z,89.999,100,45.801,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:30.8343932Z,89.999,100,15.8,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:31.1340026Z,89.999,100,4.9510000000000005,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:31.4346066Z,89.999,100,4.997,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:31.7340231Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:32.0341666Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:32.3340240Z,89.999,100,29.171,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:32.6341076Z,89.999,100,59.198,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:32.9340798Z,89.999,100,89.199,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:33.2340284Z,89.999,100,100.048,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:33.5340014Z,89.999,100,100.002,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:33.8340180Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:34.1340509Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:34.4339927Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:34.7340350Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:35.0340507Z,89.999,100,75.828,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:35.3340773Z,89.999,100,45.801,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:35.6339723Z,89.999,100,15.8,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:35.9340058Z,89.999,100,4.9510000000000005,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:36.2340094Z,89.999,100,4.997,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:36.5340019Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:36.8340133Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:37.1341417Z,89.999,100,29.171,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:37.4341886Z,89.999,100,59.198,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:37.7340419Z,89.999,100,89.199,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:38.0339936Z,89.999,100,100.048,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:38.3341486Z,89.999,100,100.002,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:38.6342931Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:38.9340354Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:39.2339941Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:39.5340660Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:39.8340655Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:40.1340163Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:40.4339877Z,113.668,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:40.7340179Z,143.698,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:41.0339761Z,173.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:41.3340069Z,203.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
